object,condition,seed,parameter,gt,estimate,signed_error,abs_error,abs_error_percent,l2,relative_residual,regressor_condition_number,frames
hammer,E_all,3,izx,-1.0880179826158104e-09,0.01570335573900354,0.015703356827021522,0.015703356827021522,1443299382.7241297,0.0666477901713791,0.06520234320470013,252.39332383854924,600
hammer,E_all,4,mass,1.11609903217039,1.1218479643839792,0.005748932213589075,0.005748932213589075,0.5150915866676794,0.063620981327708,0.06592907824532483,253.0446059549408,600
hammer,E_all,4,mx,5.463067398699198e-09,-2.6588064634450678e-05,-2.659352770184938e-05,2.659352770184938e-05,486787.47233068227,0.063620981327708,0.06592907824532483,253.0446059549408,600
hammer,E_all,4,my,-5.371818220316982e-09,-1.3715227010231026e-05,-1.3709855192010708e-05,1.3709855192010708e-05,255218.15202454323,0.063620981327708,0.06592907824532483,253.0446059549408,600
hammer,E_all,4,mz,0.17029925270232096,0.1636062779279649,-0.00669297477435607,0.00669297477435607,3.9301257452111256,0.063620981327708,0.06592907824532483,253.0446059549408,600
hammer,E_all,4,ixx,0.03294963581767361,0.061035509041490035,0.028085873223816428,0.028085873223816428,85.23879711214185,0.063620981327708,0.06592907824532483,253.0446059549408,600
hammer,E_all,4,iyy,0.032218969073453105,-0.017625253714942845,-0.04984422278839595,0.04984422278839595,154.70458621677383,0.063620981327708,0.06592907824532483,253.0446059549408,600
hammer,E_all,4,izz,0.0010008013920130541,-0.0014319082279849547,-0.0024327096199980086,0.0024327096199980086,243.07616270444566,0.063620981327708,0.06592907824532483,253.0446059549408,600
hammer,E_all,4,ixy,-4.736694527039731e-12,-0.02092690963041114,-0.020926909625674447,0.020926909625674447,441804078903.79706,0.063620981327708,0.06592907824532483,253.0446059549408,600
hammer,E_all,4,iyz,8.79648952450325e-10,0.000115083447170237,0.00011508256752128456,0.00011508256752128456,13082783.44454499,0.063620981327708,0.06592907824532483,253.0446059549408,600
hammer,E_all,4,izx,-1.0880179826158104e-09,0.01589504689243349,0.015895047980451472,0.015895047980451472,1460917763.7153232,0.063620981327708,0.06592907824532483,253.0446059549408,600
hammer,E_all,5,mass,1.11609903217039,1.1221708146894604,0.006071782519070368,0.006071782519070368,0.544018258600498,0.0638116672708027,0.06574225490205056,251.67301565226677,600
hammer,E_all,5,mx,5.463067398699198e-09,-3.363811692344124e-05,-3.364357999083994e-05,3.364357999083994e-05,615836.809900071,0.0638116672708027,0.06574225490205056,251.67301565226677,600
hammer,E_all,5,my,-5.371818220316982e-09,-4.502091802440728e-05,-4.5015546206186964e-05,4.5015546206186964e-05,837994.5925186328,0.0638116672708027,0.06574225490205056,251.67301565226677,600
hammer,E_all,5,mz,0.17029925270232096,0.17070840907173626,0.00040915636941529776,0.00040915636941529776,0.24025728998969442,0.0638116672708027,0.06574225490205056,251.67301565226677,600
hammer,E_all,5,ixx,0.03294963581767361,0.05713992758420323,0.02419029176652962,0.02419029176652962,73.41596095442843,0.0638116672708027,0.06574225490205056,251.67301565226677,600
hammer,E_all,5,iyy,0.032218969073453105,-0.020445014974191565,-0.05266398404764467,0.05266398404764467,163.4564530217613,0.0638116672708027,0.06574225490205056,251.67301565226677,600
hammer,E_all,5,izz,0.0010008013920130541,-0.0016758835042199008,-0.002676684896232955,0.002676684896232955,267.45415400042145,0.0638116672708027,0.06574225490205056,251.67301565226677,600
hammer,E_all,5,ixy,-4.736694527039731e-12,-0.019415634851539007,-0.019415634846802313,0.019415634846802313,409898395093.1792,0.0638116672708027,0.06574225490205056,251.67301565226677,600
hammer,E_all,5,iyz,8.79648952450325e-10,0.00247352577528414,0.0024735248956351875,0.0024735248956351875,281194547.9779186,0.0638116672708027,0.06574225490205056,251.67301565226677,600
hammer,E_all,5,izx,-1.0880179826158104e-09,0.016910838460284194,0.016910839548302175,0.016910839548302175,1554279416.1954172,0.0638116672708027,0.06574225490205056,251.67301565226677,600
hammer,E_all,6,mass,1.11609903217039,1.121736107264077,0.0056370750936869385,0.0056370750936869385,0.5050694366005283,0.06256049313274535,0.06567692272295327,254.9063614266217,600
