frame,source_index,time_s,qpos_J1_m,qpos_J2_m,qpos_J3_m,qpos_J4_rad,qpos_J5_rad,qpos_J6_rad,qvel_J1_ms,qvel_J2_ms,qvel_J3_ms,qvel_J4_rads,qvel_J5_rads,qvel_J6_rads,qacc_J1_ms2,qacc_J2_ms2,qacc_J3_ms2,qacc_J4_rads2,qacc_J5_rads2,qacc_J6_rads2
61,122,2.033333,-0.00824148285748,-0.000557393152085,-4.467337946e-05,-0.0119734078237,-0.00989868411834,-0.00679757370195,-0.0297048871182,-0.00575471331771,0.00118172696412,-0.034322034266,-0.00741233364104,-0.0270656665094,-0.0428719018859,0.00669494629257,-0.00856315274875,-0.0396403347421,0.0121141037055,-0.0171494031232
62,124,2.066667,-0.00925671202081,-0.00074458372315,-1.03848963586e-05,-0.0131405958172,-0.0101396333339,-0.00770917103086,-0.0310924168028,-0.00542039291361,0.000860189187743,-0.0355650803056,-0.00702723680656,-0.0274882771382,-0.0401906971709,0.0134526134034,-0.0107127253863,-0.034708624455,0.0109082778506,-0.00803375835195
63,126,2.100000,-0.0103167199073,-0.000916711164095,1.19530198315e-05,-0.0143464179621,-0.0103684456063,-0.00862965635323,-0.032385525445,-0.00484849125339,0.000465423532049,-0.0366326361641,-0.0066867595808,-0.0275939734902,-0.0372206987136,0.0209181494657,-0.012945718976,-0.0291330715224,0.00944576603267,0.00181544629548
64,128,2.133333,-0.0114181981034,-0.00106545782835,1.98532063856e-05,-0.0155846615111,-0.0105867487358,-0.00954806057896,-0.033575037491,-0.00401625007778,-4.96161197301e-06,-0.0375037190992,-0.00639900979359,-0.0273601966914,-0.0339899830856,0.0290365203867,-0.0152381146349,-0.0229461048071,0.00775498408894,0.0122794398702
65,130,2.166667,-0.0125575475597,-0.00118177967113,1.0762509928e-05,-0.0168484329878,-0.010796424645,-0.0104527307988,-0.0346527204372,-0.00290300007316,-0.000552513575166,-0.0381585894971,-0.00617108004959,-0.0267686383636,-0.0305268162291,0.0377376591518,-0.0175633964441,-0.0161897270324,0.00586820687969,0.0232226529938
66,132,2.200000,-0.013730910021,-0.00125598433458,-1.7908676118e-05,-0.0181302049882,-0.0109995734688,-0.0113314812558,-0.0356112765989,-0.00149065864717,-0.00117785605879,-0.0385790664917,-0.00600893144766,-0.025805772973,-0.0268587851515,0.0469367594045,-0.0198928003865,-0.0089152470576,0.00382080352328,0.0344944877457
67,134,2.233333,-0.0149341987038,-0.00127782563972,-6.87543722147e-05,-0.0194218733416,-0.0111984742012,-0.0121717610382,-0.0364443063752,0.000235786574935,-0.00188061888562,-0.0387488320889,-0.0059173039241,-0.0244633251403,-0.0230119629867,0.0565348376415,-0.0221956102562,-0.00118285937251,0.00165041060817,0.0459314392012
68,136,2.266667,-0.0161631272906,-0.00123661385839,-0.000144338801156,-0.0207148241638,-0.0113955428181,-0.0129608361319,-0.0371462445288,0.00228781752065,-0.00265937837774,-0.0386537187422,-0.00589965496062,-0.0227386606559,-0.0190101313749,0.0664195643463,-0.024439497754,0.00693892590143,-0.000603936638897,0.0573595382715
69,138,2.300000,-0.0174132363777,-0.00112134083911,-0.000247160383083,-0.0220000101681,-0.011593288842,-0.0136859831112,-0.0377122717794,0.00467295762568,-0.00351160977814,-0.0382819754783,-0.00595812771294,-0.0206350910782,-0.0148740831161,0.0764663596042,-0.0265909031423,0.0153739966328,-0.0029026942601,0.0685970784033
70,140,2.333333,-0.0186799165997,-0.000920818766175,-0.000379614361029,-0.023268035437,-0.0117942713412,-0.0143346914346,-0.0381382047534,0.00739438466398,-0.00443365299864,-0.0376245079122,-0.00609354890576,-0.0181620831552,-0.0106210264836,0.0865397439271,-0.0286154520345,0.0240394875393,-0.00520669907587,0.0794575822137
71,142,2.366667,-0.0199584277696,-0.000623831047469,-0.000543954521143,-0.0245092477129,-0.0120010553493,-0.0148948710401,-0.0384203680139,0.0104505927524,-0.00542069281617,-0.036675087808,-0.00630545612163,-0.0153353658697,-0.00626411047248,0.0964949302597,-0.0304784031443,0.0328467534971,-0.00747803631274,0.0897529583775
