time_s,qpos_J1_m,qpos_J2_m,qpos_J3_m,qpos_J4_rad,qpos_J5_rad,qpos_J6_rad,qvel_J1_ms,qvel_J2_ms,qvel_J3_ms,qvel_J4_rads,qvel_J5_rads,qvel_J6_rads,qacc_J1_ms2,qacc_J2_ms2,qacc_J3_ms2,qacc_J4_rads2,qacc_J5_rads2,qacc_J6_rads2
8.350000,-0.0012412775087,-0.00294489048112,-0.000242973920418,0.0020085164503,0.000337160296157,-0.00813823939625,0.0111461253859,0.00923179151411,0.00145114316736,0.000819222444261,-0.0183103846102,0.0197256824716,-0.0268926195451,-0.012776384239,-0.00438388659953,-0.0120457828682,0.0700002942978,0.0113309177985
8.366667,-0.00105902061234,-0.00279258095127,-0.000219359854413,0.00202051102052,4.1228831254e-05,-0.00780756282193,0.0106839604588,0.00901312386122,0.00137776904238,0.000617564210938,-0.017142596028,0.0198767563613,-0.0284346574837,-0.013411170357,-0.00440291765208,-0.0121043295114,0.0698598609659,0.00679736449765
8.383333,-0.00088468310623,-0.00264400795017,-0.000196972445816,0.00202913322022,-0.000235237869008,-0.00747498751961,0.0101980436547,0.00878430452622,0.00130424498736,0.000415353686617,-0.0159791765425,0.0199536605096,-0.0297390670972,-0.0139923541177,-0.00440204638517,-0.0121121212982,0.069478378401,0.00244723773535
8.400000,-0.00071862868283,-0.00249933343194,-0.000175811479622,0.00203438085132,-0.000492345907679,-0.00714172565129,0.00969229093096,0.00854623779556,0.00123089328729,0.000213428951021,-0.0148240729426,0.0199595466866,-0.0308121157396,-0.014518847362,-0.0043824704551,-0.0120702977329,0.0688652486127,-0.0017089344102
8.416667,-0.000561156572022,-0.00235870411385,-0.000155871528043,0.00203626553948,-0.000730265932057,-0.0068089353508,0.00917050665381,0.00829984407673,0.00115801611022,1.2607490854e-05,-0.0136810687763,0.0198977323241,-0.031660894374,-0.0149898074815,-0.00434540129294,-0.011980185117,0.0680306153194,-0.0056618357461
8.433333,-0.00041250351596,-0.00222225124153,-0.000137142288016,0.00203481236465,-0.000949230308065,-0.00647771812753,0.00863637036986,0.00804605577603,0.00108589532315,-0.000186316854326,-0.012553772502,0.0197716802008,-0.0322932548041,-0.0154046399338,-0.00429205862847,-0.0118432886993,0.0669852996678,-0.00940337091085
8.450000,-0.000272845955913,-0.00209009042324,-0.000119608921024,0.00203005944178,-0.00114953010587,-0.00614911661028,0.00809342464185,0.00778581314579,0.00101479239817,-0.000382576808333,-0.0114456067289,0.019584978029,-0.0327177449582,-0.0157629993784,-0.00422366517489,-0.0116612840146,0.0657407340491,-0.0129266681428
8.466667,-0.000142302413081,-0.00196232153369,-0.000103252393751,0.00202205745399,-0.00133151191518,-0.00582411263195,0.00754506397874,0.00752006012423,0.000944948405738,-0.000575434423549,-0.0103597985766,0.0193413180468,-0.0329435425939,-0.016064789431,-0.00414144149358,-0.0114360074583,0.0643088943588,-0.0162260759767
8.483333,-2.09360449214e-05,-0.00183902868709,-8.80498181535e-05,0.00201086914106,-0.00149557450909,-0.00550362565427,0.00699452488306,0.00724974019089,0.000876584092104,-0.000764183682717,-0.00929937117501,0.0190444767148,-0.0329803877888,-0.016310161043,-0.00404660105667,-0.0111694461454,0.0627022310505,-0.0192971540038
8.500000,9.12426418164e-05,-0.00172028027918,-7.39747895432e-05,0.00199656874581,-0.0016421653757,-0.00518851152986,0.00644487703292,0.00697579226047,0.000809900037411,-0.000948152925851,-0.00826713632422,0.0186982946153,-0.0328385145862,-0.0164995095209,-0.00394034552362,-0.0108637271099,0.0609335993355,-0.0221366578588
